Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,1989-01-07,Every Rose Has Its Thorn,Poison,1.0,1.0,11.0,Poison
2,1989-01-07,My Prerogative,Bobby Brown,2.0,2.0,12.0,Bobby Brown
3,1989-01-07,Two Hearts,Phil Collins,6.0,3.0,8.0,Phil Collins
4,1989-01-07,Giving You The Best That I Got,Anita Baker,4.0,3.0,16.0,Anita Baker
5,1989-01-07,In Your Room,The Bangles,8.0,5.0,13.0,The Bangles
6,1989-01-07,Don't Rush Me,Taylor Dayne,10.0,6.0,10.0,Taylor Dayne
7,1989-01-07,Waiting For A Star To Fall,Boy Meets Girl,5.0,5.0,18.0,Boy Meets Girl
8,1989-01-07,Look Away,Chicago,3.0,1.0,16.0,Chicago
9,1989-01-07,Armageddon It,Def Leppard,12.0,9.0,8.0,Def Leppard
10,1989-01-07,Smooth Criminal,Michael Jackson,13.0,10.0,9.0,Michael Jackson
11,1989-01-07,I Remember Holding You,Boys Club,14.0,11.0,12.0,Boys Club
12,1989-01-07,Put A Little Love In Your Heart,Annie Lennox & Al Green,19.0,12.0,10.0,Annie Lennox Featuring Al Green
13,1989-01-07,Silhouette,Kenny G,16.0,13.0,11.0,Kenny G
14,1989-01-07,Welcome To The Jungle,Guns N' Roses,7.0,7.0,12.0,Guns N' Roses
15,1989-01-07,The Way You Love Me,Karyn White,22.0,15.0,13.0,Karyn White
16,1989-01-07,When I'm With You,Sheriff,27.0,16.0,14.0,Sheriff
17,1989-01-07,Born To Be My Baby,Bon Jovi,26.0,17.0,7.0,Bon Jovi
18,1989-01-07,All This Time,Tiffany,24.0,18.0,10.0,Tiffany
19,1989-01-07,When The Children Cry,White Lion,25.0,19.0,10.0,White Lion
20,1989-01-07,Walk On Water,Eddie Money,9.0,9.0,15.0,Eddie Money
21,1989-01-07,"Baby, I Love Your Way/Freebird Medley",Will To Power,11.0,1.0,18.0,Will To Power
22,1989-01-07,Little Liar,Joan Jett & the Blackhearts,28.0,22.0,11.0,Joan Jett Featuring the Blackhearts
23,1989-01-07,Holding On,Steve Winwood,29.0,23.0,7.0,Steve Winwood
24,1989-01-07,How Can I Fall?,Breathe,17.0,3.0,18.0,Breathe
25,1989-01-07,Wild World,Maxi Priest,30.0,25.0,11.0,Maxi Priest
26,1989-01-07,I Wanna Have Some Fun,Samantha Fox,31.0,26.0,9.0,Samantha Fox
27,1989-01-07,I Don't Want Your Love,Duran Duran,15.0,4.0,13.0,Duran Duran
28,1989-01-07,Straight Up,Paula Abdul,35.0,28.0,6.0,Paula Abdul
29,1989-01-07,The Promise,When In Rome,18.0,11.0,19.0,When In Rome
30,1989-01-07,The Lover In Me,Sheena Easton,34.0,30.0,10.0,Sheena Easton
31,1989-01-07,Wild Thing,Tone-Loc,37.0,31.0,6.0,Tone-Loc
32,1989-01-07,Finish What Ya Started,Van Halen,20.0,13.0,15.0,Van Halen
33,1989-01-07,Ghost Town,Cheap Trick,33.0,33.0,10.0,Cheap Trick
34,1989-01-07,Walking Away,Information Society,41.0,34.0,7.0,Information Society
35,1989-01-07,Thanks For My Child,Cheryl Pepsii Riley,32.0,32.0,11.0,Cheryl Pepsii Riley
36,1989-01-07,Early In The Morning,Robert Palmer,23.0,19.0,12.0,Robert Palmer
37,1989-01-07,Spy In The House Of Love,Was (Not Was),21.0,16.0,15.0,Was Not Was
38,1989-01-07,Kiss,The Art Of Noise Featuring Tom Jones,40.0,38.0,6.0,The Art Of Noise Featuring Tom Jones
39,1989-01-07,Back On Holiday,Robbie Nevil,42.0,39.0,9.0,Robbie Nevil
40,1989-01-07,She Wants To Dance With Me,Rick Astley,44.0,40.0,4.0,Rick Astley
41,1989-01-07,What I Am,Edie Brickell & New Bohemians,45.0,41.0,7.0,Edie Brickell Featuring New Bohemians
42,1989-01-07,Angel Of Harlem,U2,51.0,42.0,4.0,U2
43,1989-01-07,Dial My Heart,The Boys,46.0,43.0,5.0,The Boys
44,1989-01-07,"Kokomo (From""Cocktail"" )",The Beach Boys,38.0,1.0,19.0,The Beach Boys
45,1989-01-07,You Got It (The Right Stuff),New Kids On The Block,47.0,45.0,8.0,New Kids On The Block
46,1989-01-07,"Wild, Wild West",The Escape Club,39.0,1.0,21.0,The Escape Club
47,1989-01-07,A Little Respect,Erasure,53.0,47.0,5.0,Erasure
48,1989-01-07,Baby Can I Hold You,Tracy Chapman,48.0,48.0,10.0,Tracy Chapman
49,1989-01-07,Desire,U2,36.0,3.0,15.0,U2
50,1989-01-07,Shake For The Sheik,The Escape Club,57.0,50.0,5.0,The Escape Club
51,1989-01-07,Bad Medicine,Bon Jovi,43.0,1.0,16.0,Bon Jovi
52,1989-01-07,As Long As You Follow,Fleetwood Mac,56.0,52.0,6.0,Fleetwood Mac
53,1989-01-07,"Surrender To Me (From ""Tequila Sunrise"")",Ann Wilson & Robin Zander,80.0,53.0,3.0,Ann Wilson Featuring Robin Zander
54,1989-01-07,My Heart Can't Tell You No,Rod Stewart,61.0,54.0,5.0,Rod Stewart
55,1989-01-07,It's No Secret,Kylie Minogue,62.0,55.0,5.0,Kylie Minogue
56,1989-01-07,The Loco-Motion,Kylie Minogue,50.0,3.0,20.0,Kylie Minogue
57,1989-01-07,Don't Know What You Got (Till It's Gone),Cinderella,54.0,12.0,19.0,Cinderella
58,1989-01-07,Cross My Heart,Eighth Wonder,60.0,58.0,8.0,Eighth Wonder
59,1989-01-07,Not Just Another Girl,Ivan Neville,49.0,26.0,14.0,Ivan Neville
