,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,1980-01-05,Please Don't Go,KC And The Sunshine Band,2,1,20
2,1980-01-05,Escape (The Pina Colada Song),Rupert Holmes,1,1,12
3,1980-01-05,Rock With You,Michael Jackson,11,3,10
4,1980-01-05,Send One Your Love,Stevie Wonder,4,4,10
5,1980-01-05,Do That To Me One More Time,Captain & Tennille,6,5,12
6,1980-01-05,Babe,Styx,3,1,14
7,1980-01-05,Still,Commodores,5,1,15
8,1980-01-05,Coward Of The County,Kenny Rogers,22,8,8
9,1980-01-05,Ladies Night,Kool & The Gang,9,9,14
10,1980-01-05,We Don't Talk Anymore,Cliff Richard,13,10,12
11,1980-01-05,Cool Change,Little River Band,12,11,12
12,1980-01-05,Cruisin',Smokey Robinson,15,12,14
13,1980-01-05,The Long Run,Eagles,17,13,5
14,1980-01-05,Head Games,Foreigner,14,14,9
15,1980-01-05,Better Love Next Time,Dr. Hook,16,15,13
16,1980-01-05,Jane,Jefferson Starship,18,16,10
17,1980-01-05,I Wanna Be Your Lover,Prince,23,17,7
18,1980-01-05,This Is It,Kenny Loggins,21,18,12
19,1980-01-05,I Want You Tonight,Pablo Cruise,19,19,13
20,1980-01-05,You're Only Lonely,J.D. Souther,7,7,18
21,1980-01-05,No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,8,1,12
22,1980-01-05,Don't Do Me Like That,Tom Petty And The Heartbreakers,25,22,8
23,1980-01-05,Wait For Me,Daryl Hall John Oates,26,23,11
24,1980-01-05,Don't Let Go,Isaac Hayes,28,24,11
25,1980-01-05,Sara,Fleetwood Mac,35,25,4
26,1980-01-05,Take The Long Way Home,Supertramp,10,10,13
27,1980-01-05,Damned If I Do,The Alan Parsons Project,27,27,15
28,1980-01-05,Third Time Lucky (First Time I Was A Fool),Foghat,30,28,8
29,1980-01-05,Deja Vu,Dionne Warwick,34,29,9
30,1980-01-05,Chiquitita,ABBA,31,30,9
31,1980-01-05,"Yes, I'm Ready",Teri DeSario With K.C.,36,31,8
32,1980-01-05,Pop Muzik,M,32,1,22
33,1980-01-05,Half The Way,Crystal Gayle,24,15,15
34,1980-01-05,Heartache Tonight,Eagles,20,1,14
35,1980-01-05,Romeo's Tune,Steve Forbert,48,35,6
36,1980-01-05,Rotation,Herb Alpert,40,36,8
37,1980-01-05,Rapper's Delight,Sugarhill Gang,43,37,9
38,1980-01-05,"Train, Train",Blackfoot,38,38,12
39,1980-01-05,I'd Rather Leave While I'm In Love,Rita Coolidge,44,39,8
40,1980-01-05,Forever Mine,The O'Jays,42,40,7
41,1980-01-05,Savannah Nights,Tom Johnston,45,41,8
42,1980-01-05,Fool In The Rain,Led Zeppelin,64,42,3
43,1980-01-05,Crazy Little Thing Called Love,Queen,58,43,3
44,1980-01-05,Voices,Cheap Trick,56,44,5
45,1980-01-05,Why Me,Styx,65,45,4
46,1980-01-05,You Know That I Love You,Santana,53,46,7
47,1980-01-05,She's In Love With You,Suzi Quatro,51,47,7
48,1980-01-05,Do You Love What You Feel,Rufus And Chaka Khan,54,48,7
49,1980-01-05,Mistrusted Love,Mistress,49,49,9
50,1980-01-05,Lonely Eyes,Robert John,55,50,5
51,1980-01-05,Lost Her In The Sun,John Stewart,59,51,5
52,1980-01-05,Dig The Gold,Joyce Cobb,62,52,7
53,1980-01-05,Last Train To London,Electric Light Orchestra,63,53,5
54,1980-01-05,September Morn',Neil Diamond,66,54,3
55,1980-01-05,Money,The Flying Lizards,60,55,6
56,1980-01-05,Daydream Believer,Anne Murray,67,56,3
57,1980-01-05,Move Your Boogie Body,Bar-Kays,61,57,5
58,1980-01-05,Wonderland,Commodores,68,58,4
