Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,2009-01-03,Single Ladies (Put A Ring On It),Beyonce,1.0,1.0,10.0,Beyonce
2,2009-01-03,Live Your Life,T.I. Featuring Rihanna,2.0,1.0,13.0,T.I. Featuring Rihanna
3,2009-01-03,Just Dance,Lady Gaga Featuring Colby O'Donis,3.0,3.0,20.0,Lady Gaga Featuring Colby O'Donis
4,2009-01-03,Heartless,Kanye West,7.0,4.0,7.0,Kanye West
5,2009-01-03,Womanizer,Britney Spears,6.0,1.0,12.0,Britney Spears
6,2009-01-03,Hot N Cold,Katy Perry,8.0,3.0,21.0,Katy Perry
7,2009-01-03,Love Story,Taylor Swift,11.0,5.0,15.0,Taylor Swift
8,2009-01-03,Love Lockdown,Kanye West,10.0,3.0,14.0,Kanye West
9,2009-01-03,Whatever You Like,T.I.,5.0,1.0,20.0,T.I.
10,2009-01-03,If I Were A Boy,Beyonce,9.0,3.0,11.0,Beyonce
11,2009-01-03,Circus,Britney Spears,4.0,3.0,3.0,Britney Spears
12,2009-01-03,I'm Yours,Jason Mraz,12.0,6.0,36.0,Jason Mraz
13,2009-01-03,Let It Rock,Kevin Rudolf Featuring Lil Wayne,13.0,5.0,17.0,Kevin Rudolf Featuring Lil Wayne
14,2009-01-03,Miss Independent,Ne-Yo,14.0,7.0,18.0,Ne-Yo
15,2009-01-03,Right Now (Na Na Na),Akon,15.0,8.0,13.0,Akon
16,2009-01-03,So What,P!nk,16.0,1.0,18.0,P!nk
17,2009-01-03,Gotta Be Somebody,Nickelback,17.0,10.0,12.0,Nickelback
18,2009-01-03,Rehab,Rihanna,21.0,18.0,7.0,Rihanna
19,2009-01-03,Gives You Hell,The All-American Rejects,37.0,19.0,6.0,The All-American Rejects
20,2009-01-03,Chicken Fried,Zac Brown Band,20.0,20.0,14.0,Zac Brown Band
21,2009-01-03,Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,19.0,16.0,18.0,Lil Wayne Featuring Bobby Valentino Featuring Kidd Kidd
22,2009-01-03,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,25.0,22.0,10.0,Jim Jones Featuring Ron Browz Featuring Juelz Santana
23,2009-01-03,Disturbia,Rihanna,22.0,1.0,27.0,Rihanna
24,2009-01-03,Green Light,John Legend Featuring Andre 3000,24.0,24.0,16.0,John Legend Featuring Andre 3000
25,2009-01-03,One More Drink,Ludacris Co-Starring T-Pain,26.0,25.0,8.0,Ludacris Featuring T-Pain
26,2009-01-03,Addicted,Saving Abel,23.0,20.0,28.0,Saving Abel
27,2009-01-03,Can't Believe It,T-Pain Featuring Lil Wayne,18.0,7.0,21.0,T-Pain Featuring Lil Wayne
28,2009-01-03,Chopped 'N' Skrewed,T-Pain Featuring Ludacris,27.0,27.0,10.0,T-Pain Featuring Ludacris
29,2009-01-03,You Found Me,The Fray,30.0,15.0,5.0,The Fray
30,2009-01-03,Better In Time,Leona Lewis,28.0,11.0,24.0,Leona Lewis
31,2009-01-03,Put It On Ya,Plies Featuring Chris J,65.0,31.0,5.0,Plies Featuring Chris J
32,2009-01-03,I Hate This Part,The Pussycat Dolls,58.0,32.0,4.0,The Pussycat Dolls
33,2009-01-03,I'm So Paid,Akon Featuring Lil Wayne & Young Jeezy,31.0,31.0,10.0,Akon Featuring Lil Wayne Featuring Young Jeezy
34,2009-01-03,Sober,P!nk,49.0,34.0,4.0,P!nk
35,2009-01-03,Untouched,The Veronicas,40.0,35.0,4.0,The Veronicas
36,2009-01-03,Viva La Vida,Coldplay,32.0,1.0,33.0,Coldplay
37,2009-01-03,Shattered (Turn The Car Around),O.A.R.,36.0,36.0,20.0,O.A.R.
38,2009-01-03,Roll With Me,Montgomery Gentry,33.0,33.0,15.0,Montgomery Gentry
39,2009-01-03,I Don't Care,Fall Out Boy,62.0,21.0,15.0,Fall Out Boy
40,2009-01-03,Light On,David Cook,48.0,17.0,11.0,David Cook
41,2009-01-03,Human,The Killers,41.0,32.0,12.0,The Killers
42,2009-01-03,Closer,Ne-Yo,38.0,7.0,36.0,Ne-Yo
43,2009-01-03,Love Remains The Same,Gavin Rossdale,35.0,27.0,29.0,Gavin Rossdale
44,2009-01-03,Decode,Paramore,46.0,34.0,7.0,Paramore
45,2009-01-03,Crush,David Archuleta,43.0,2.0,19.0,David Archuleta
46,2009-01-03,Fall For You,Secondhand Serenade,44.0,21.0,28.0,Secondhand Serenade
47,2009-01-03,Trading Places,Usher,45.0,45.0,8.0,Usher
48,2009-01-03,White Horse,Taylor Swift,51.0,13.0,6.0,Taylor Swift
49,2009-01-03,Just Like Me,Jamie Foxx Featuring T.I.,75.0,49.0,2.0,Jamie Foxx Featuring T.I.
50,2009-01-03,Already Gone,Sugarland,42.0,41.0,13.0,Sugarland
51,2009-01-03,Swagga Like Us,Jay-Z & T.I. Featuring Kanye West & Lil Wayne,52.0,5.0,15.0,Jay-Z & T.I. Featuring Kanye West Featuring Lil Wayne
52,2009-01-03,In Color,Jamey Johnson,53.0,52.0,12.0,Jamey Johnson
53,2009-01-03,Bust Your Windows,Jazmine Sullivan,39.0,31.0,11.0,Jazmine Sullivan
54,2009-01-03,Feel That Fire,Dierks Bentley,56.0,54.0,11.0,Dierks Bentley
55,2009-01-03,Here,Rascal Flatts,50.0,50.0,12.0,Rascal Flatts
56,2009-01-03,Cowgirls Don't Cry,Brooks & Dunn Featuring Reba McEntire,60.0,56.0,6.0,Brooks Featuring Dunn Featuring Reba McEntire
57,2009-01-03,Country Boy,Alan Jackson,57.0,57.0,8.0,Alan Jackson
58,2009-01-03,She Wouldn't Be Gone,Blake Shelton,54.0,54.0,9.0,Blake Shelton
59,2009-01-03,Start A Band,Brad Paisley Duet With Keith Urban,55.0,55.0,10.0,Brad Paisley Duet Featuring Keith Urban
60,2009-01-03,Right Here (Departed),Brandy,34.0,34.0,15.0,Brandy
61,2009-01-03,Mad,Ne-Yo,79.0,61.0,3.0,Ne-Yo
62,2009-01-03,Seventeen Forever,Metro Station,82.0,62.0,2.0,Metro Station
63,2009-01-03,Playa Cardz Right,Keyshia Cole Featuring 2Pac,67.0,63.0,6.0,Keyshia Cole Featuring 2Pac
64,2009-01-03,Don't,Billy Currington,63.0,63.0,9.0,Billy Currington
65,2009-01-03,God Love Her,Toby Keith,66.0,65.0,5.0,Toby Keith
66,2009-01-03,Keeps Gettin' Better,Christina Aguilera,59.0,7.0,12.0,Christina Aguilera
67,2009-01-03,Lookin' For A Good Time,Lady Antebellum,70.0,67.0,11.0,Lady Antebellum
68,2009-01-03,Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall,29.0,19.0,3.0,Akon Featuring Colby O'Donis Featuring Kardinal Offishall
69,2009-01-03,Universal Mind Control,Common Featuring Pharrell,73.0,69.0,3.0,Common Featuring Pharrell
70,2009-01-03,Second Chance,Shinedown,76.0,70.0,4.0,Shinedown
71,2009-01-03,Sex On Fire,Kings Of Leon,72.0,56.0,9.0,Kings Of Leon
72,2009-01-03,Just A Dream,Carrie Underwood,61.0,29.0,20.0,Carrie Underwood
73,2009-01-03,She Got Her Own,Ne-Yo Featuring Jamie Foxx & Fabolous,93.0,73.0,2.0,Ne-Yo Featuring Jamie Foxx Featuring Fabolous
74,2009-01-03,My Life,The Game Featuring Lil Wayne,64.0,21.0,20.0,The Game Featuring Lil Wayne
75,2009-01-03,Sweet Thing,Keith Urban,74.0,43.0,6.0,Keith Urban
76,2009-01-03,IfULeave,Musiq Soulchild Featuring Mary J. Blige,71.0,71.0,5.0,Musiq Soulchild Featuring Mary J. Blige
77,2009-01-03,"You're Gonna Go Far, Kid",The Offspring,77.0,68.0,11.0,The Offspring
78,2009-01-03,Come On Get Higher,Matt Nathanson,81.0,63.0,17.0,Matt Nathanson
79,2009-01-03,Down The Road,Kenny Chesney With Mac McAnally,78.0,78.0,3.0,Kenny Chesney Featuring Mac McAnally
80,2009-01-03,I Don't Care,Apocalyptica Featuring Adam Gontier,84.0,80.0,10.0,Apocalyptica Featuring Adam Gontier
81,2009-01-03,Run,Leona Lewis,,,,Leona Lewis
82,2009-01-03,Let It Go,Tim McGraw,68.0,47.0,15.0,Tim McGraw
83,2009-01-03,Dead And Gone,T.I. Featuring Justin Timberlake,99.0,76.0,3.0,T.I. Featuring Justin Timberlake
84,2009-01-03,Krazy,Pitbull Featuring Lil Jon,83.0,30.0,13.0,Pitbull Featuring Lil Jon
85,2009-01-03,What About Now,Daughtry,85.0,18.0,20.0,Daughtry
86,2009-01-03,Arab Money,Busta Rhymes Featuring Ron Browz,86.0,86.0,3.0,Busta Rhymes Featuring Ron Browz
87,2009-01-03,Broken,Lifehouse,89.0,87.0,9.0,Lifehouse
88,2009-01-03,Without You,Hinder,90.0,88.0,5.0,Hinder
89,2009-01-03,River Of Love,George Strait,87.0,87.0,3.0,George Strait
90,2009-01-03,Turnin Me On,Keri Hilson Featuring Lil Wayne,,,,Keri Hilson Featuring Lil Wayne
91,2009-01-03,Everybody Wants To Go To Heaven,Kenny Chesney With The Wailers,88.0,41.0,19.0,Kenny Chesney Featuring The Wailers
92,2009-01-03,Poker Face,Lady Gaga,,,,Lady Gaga
93,2009-01-03,When It Hurts,Avant,91.0,91.0,2.0,Avant
94,2009-01-03,Bad Girlfriend,Theory Of A Deadman,95.0,75.0,12.0,Theory Of A Deadman
95,2009-01-03,Don't Trust Me,3OH!3,,95.0,2.0,3OH!3
96,2009-01-03,Diva,Beyonce,,,,Beyonce
97,2009-01-03,Beep,Bobby V Featuring Yung Joc,,,,Bobby V Featuring Yung Joc
98,2009-01-03,Anything Goes,Randy Houser,92.0,92.0,5.0,Randy Houser
99,2009-01-03,Rockin' That Thang,The-Dream,,,,The-Dream
100,2009-01-03,It Won't Be Like This For Long,Darius Rucker,,,,Darius Rucker
1,2009-01-10,Single Ladies (Put A Ring On It),Beyonce,1.0,1.0,11.0,Beyonce
2,2009-01-10,Just Dance,Lady Gaga Featuring Colby O'Donis,3.0,2.0,21.0,Lady Gaga Featuring Colby O'Donis
3,2009-01-10,Live Your Life,T.I. Featuring Rihanna,2.0,1.0,14.0,T.I. Featuring Rihanna
4,2009-01-10,Heartless,Kanye West,4.0,4.0,8.0,Kanye West
5,2009-01-10,Love Story,Taylor Swift,7.0,5.0,16.0,Taylor Swift
6,2009-01-10,Hot N Cold,Katy Perry,6.0,3.0,22.0,Katy Perry
7,2009-01-10,Womanizer,Britney Spears,5.0,1.0,13.0,Britney Spears
8,2009-01-10,Love Lockdown,Kanye West,8.0,3.0,15.0,Kanye West
9,2009-01-10,Whatever You Like,T.I.,9.0,1.0,21.0,T.I.
10,2009-01-10,If I Were A Boy,Beyonce,10.0,3.0,12.0,Beyonce
11,2009-01-10,Circus,Britney Spears,11.0,3.0,4.0,Britney Spears
12,2009-01-10,I'm Yours,Jason Mraz,12.0,6.0,37.0,Jason Mraz
13,2009-01-10,Right Now (Na Na Na),Akon,15.0,8.0,14.0,Akon
